id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,pass_recipient,pass_length,pass_angle,pass_height,pass_end_location,pass_body_part,pass_type,possession_team_id,team_id,player_id,pass_recipient_id,pass_outcome,under_pressure,pass_switch,counterpress,off_camera,pass_inswinging,pass_technique,pass_assisted_shot_id,pass_shot_assist,pass_cross,pass_through_ball,pass_aerial_won,pass_goal_assist,pass_outswinging,pass_miscommunication,pass_no_touch,pass_cut_back
24a4b8bd-7dea-49d1-a059-6b5ab9f8a9f9,125,1,00:02:20.680,2,20,Pass,7,Argentina,From Throw In,Argentina,Gonzalo Ariel Montiel,Right Back,"[26.1, 80.0]",0.697969,['f61750ea-9550-4671-9a09-3d8d09be53f3'],3942785,Lionel Andrés Messi Cuccittini,29.432804,-0.38303003,Low Pass,"[53.4, 69.0]",,Throw-in,779,779,28263,5503.0,,,,,True,,,,,,,,,,,,
50939d2b-f4af-4a57-acd2-3c455a87eeb9,131,1,00:02:24.001,2,24,Pass,7,Argentina,From Throw In,Canada,Alphonso Davies,Left Back,"[35.2, 9.6]",0.024827,"['0878f5c3-a2b1-4547-a0be-62937fc0367c', '6273d771-bb04-4d03-8d23-cc94ea30f348']",3942785,,2.0880613,0.2914568,Ground Pass,"[37.2, 10.2]",Left Foot,Recovery,779,1833,12365,,Incomplete,True,,,,,,,,,,,,,,,
2460e802-d7ae-4d17-8801-a6a6a5f8ea50,136,1,00:02:26.948,2,26,Pass,7,Argentina,From Throw In,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[97.0, 63.2]",1.095492,"['a0bf4555-4353-4e02-91d4-47f91d37612e', 'be1cfbf8-d718-42a3-b543-d6eb2fc559c0']",3942785,Ángel Fabián Di María Hernández,12.332072,0.14648418,Ground Pass,"[109.2, 65.0]",Left Foot,,779,779,5503,2995.0,,True,,,,,,,,,,,,,,,
3ca9006a-8925-463a-be55-edcce7f3c3ad,140,1,00:02:28.987,2,28,Pass,7,Argentina,From Throw In,Argentina,Ángel Fabián Di María Hernández,Right Midfield,"[111.9, 60.4]",0.442703,"['843dc7af-a578-47b9-ac1d-7f019329acd1', '9b3faa62-a57d-4a7b-b754-937b289e9490', 'a2a0be25-4f82-48de-a024-91ef6d3782c9']",3942785,Lionel Andrés Messi Cuccittini,7.615773,-1.8094057,Ground Pass,"[110.1, 53.0]",Right Foot,,779,779,2995,5503.0,Incomplete,True,,,,,,,,,,,,,,,
452cbbfb-f568-4c79-bd8f-bb59948c9041,144,1,00:02:30.736,2,30,Pass,8,Canada,Regular Play,Canada,Derek Cornelius,Left Center Back,"[10.0, 26.6]",1.845595,['7177a001-7de0-4025-9d08-8d877d326c64'],3942785,Jacob Shaffelburg,26.88959,-1.1370898,Ground Pass,"[21.3, 2.2]",Left Foot,,1833,1833,23760,26152.0,,,,,,,,,,,,,,,,,
2495d7b2-b703-4b09-a450-d3a7151211b7,148,1,00:02:34.222,2,34,Pass,8,Canada,Regular Play,Canada,Jacob Shaffelburg,Left Midfield,"[26.6, 2.2]",0.773926,"['d4b7d081-13ff-4c9a-8a04-6b80d5e2434b', 'd6651362-336d-4458-ac93-10ffb3c0c122', 'e4f7010a-dab5-42ff-ba1f-8d64940ab0c0']",3942785,Jonathan David,14.705441,1.5980005,Ground Pass,"[26.2, 16.9]",Left Foot,,1833,1833,26152,23640.0,Incomplete,True,,,,,,,,,,,,,,,
c49de47a-86cb-4d3c-bef1-2e3c825a7702,157,1,00:02:39.623,2,39,Pass,8,Canada,Regular Play,Canada,Jacob Shaffelburg,Left Midfield,"[42.1, 8.9]",0.747091,"['72dff14a-64b9-4c24-a215-29e83d2a3c40', 'd5e3f312-009a-4b38-8b6c-06771c7c435f', 'e8448437-876b-4772-af66-8ed06833cb0b']",3942785,Cyle Larin,10.846659,0.7136262,Ground Pass,"[50.3, 16.0]",Left Foot,Recovery,1833,1833,26152,16459.0,Incomplete,True,,,,,,,,,,,,,,,
a0156a6e-1384-4942-adef-b2aae450bdf8,161,1,00:02:40.976,2,40,Pass,8,Canada,Regular Play,Argentina,Cristian Gabriel Romero,Right Center Back,"[69.8, 61.0]",0.590001,"['09c1cd1e-0b3d-4d06-a107-f8a3773144b9', 'e5987b0e-45ac-4455-861e-984fb9f68343']",3942785,Ángel Fabián Di María Hernández,11.4947815,-0.47921056,Ground Pass,"[80.0, 55.7]",Right Foot,,1833,779,20572,2995.0,Incomplete,,,,,,,,,,,,,,,,
ef22fe11-82dd-462d-bbdb-7a6b3bf74d68,165,1,00:02:42.943,2,42,Pass,8,Canada,Regular Play,Canada,Ismael Koné,Right Defensive Midfield,"[38.8, 31.7]",0.757737,['9fd45341-3a8f-4689-9e5c-0cb62cdbc679'],3942785,Jonathan David,7.7175126,-0.54486394,Ground Pass,"[45.4, 27.7]",Right Foot,Recovery,1833,1833,133229,23640.0,,,,,,,,,,,,,,,,,
3013bc2d-6041-480f-a824-ddb03850b7ff,168,1,00:02:43.701,2,43,Pass,8,Canada,Regular Play,Canada,Jonathan David,Right Center Forward,"[44.8, 28.4]",2.581244,"['8dfc9ab9-6323-43de-9d23-5e23c58ce768', 'e5e68134-b56d-40f2-8581-449f2159b9e7']",3942785,Alistair Johnston,29.729446,1.9862884,Low Pass,"[32.8, 55.6]",Right Foot,,1833,1833,23640,44703.0,,True,,,,,,,,,,,,,,,
853f0124-1b44-44cc-bab5-e80a339bafc2,171,1,00:02:49.576,2,49,Pass,8,Canada,Regular Play,Canada,Alistair Johnston,Right Back,"[44.3, 65.6]",2.866559,['072059a9-3458-4901-98b3-8518ed93ceb9'],3942785,Richie Laryea,55.053158,0.1863522,Low Pass,"[98.4, 75.8]",Right Foot,,1833,1833,44703,16120.0,,,,,,,,,,,,,,,,,
c5d182ff-5b99-4139-8cbe-5c0aafc23ac0,177,1,00:03:35.573,3,35,Pass,9,Canada,From Corner,Canada,Jacob Shaffelburg,Left Midfield,"[120.0, 80.0]",1.269813,['a60e8af7-1413-4ec2-80cb-b114160670b3'],3942785,,40.24922,-1.7506498,High Pass,"[112.8, 40.4]",Left Foot,Corner,1833,1833,26152,,Incomplete,,,,,True,Inswinging,,,,,,,,,,
c2905789-f5c3-49e2-960e-a9c1290f1cd0,182,1,00:03:43.371,3,43,Pass,10,Argentina,Regular Play,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[20.8, 79.6]",0.279316,"['4bd52518-4124-40db-bc15-37e38241a903', '6dfbc298-dc5d-4c6c-b942-381e333f35ec', '86c965bf-8e1f-4cbd-b663-0fe5d9b39be2']",3942785,Enzo Fernandez,5.508176,-0.2758059,Ground Pass,"[26.1, 78.1]",Right Foot,,779,779,7797,38718.0,Incomplete,True,,,,,,,,,,,,,,,
80e28af1-2468-499c-be48-1a5cb1059420,185,1,00:03:56.980,3,56,Pass,11,Argentina,From Throw In,Argentina,Gonzalo Ariel Montiel,Right Back,"[21.9, 80.0]",1.803458,['b1284814-401c-4901-b48b-913511d0e95e'],3942785,Cristian Gabriel Romero,14.937536,-2.1123638,Low Pass,"[14.2, 67.2]",,Throw-in,779,779,28263,20572.0,,,,,,,,,,,,,,,,,
9e6beec0-4015-4391-89da-9db89ebf05ed,188,1,00:03:59.983,3,59,Pass,11,Argentina,From Throw In,Argentina,Cristian Gabriel Romero,Right Center Back,"[13.3, 62.3]",0.8,['6764905a-78d1-42e5-9536-fbe2abd6159d'],3942785,Enzo Fernandez,8.407735,-1.1018296,Ground Pass,"[17.1, 54.8]",Right Foot,,779,779,20572,38718.0,,,,,,,,,,,,,,,,,
ab5fe1fd-2c71-489e-9377-91ada4123b64,191,1,00:04:01.983,4,1,Pass,11,Argentina,From Throw In,Argentina,Enzo Fernandez,Left Defensive Midfield,"[13.3, 55.9]",1.642925,['870b4014-c33e-43a6-8e60-55dd55b47710'],3942785,Rodrigo Javier De Paul,26.040354,0.8234233,Ground Pass,"[31.0, 75.0]",Right Foot,,779,779,38718,7797.0,,,,,,,,,,,,,,,,,
f1c0abe2-1235-40b3-91eb-1be25a8311a9,193,1,00:04:03.626,4,3,Pass,11,Argentina,From Throw In,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[31.2, 74.5]",1.642341,['64a20040-5f17-4ad3-a51b-9a3e5aa45e35'],3942785,Cristian Gabriel Romero,17.596022,-2.7262535,Ground Pass,"[15.1, 67.4]",Right Foot,,779,779,7797,20572.0,,,,,,,,,,,,,,,,,
c9be0a74-403c-42a6-8494-87731a63e52d,196,1,00:04:07.488,4,7,Pass,11,Argentina,From Throw In,Argentina,Cristian Gabriel Romero,Right Center Back,"[18.2, 59.0]",2.005232,['875ace58-2c9b-4fd4-b6b1-c2f954a22536'],3942785,Lisandro Martínez,31.552654,-1.4723891,Ground Pass,"[21.3, 27.6]",Right Foot,,779,779,20572,27768.0,,,,,,,,,,,,,,,,,
4ad4f759-64f5-47c7-8e62-f3d4132a6d65,199,1,00:04:11.541,4,11,Pass,11,Argentina,From Throw In,Argentina,Lisandro Martínez,Left Center Back,"[22.8, 25.1]",1.491578,['e466ed4f-21e6-4500-a2cf-d415f576c0c9'],3942785,Nicolás Alejandro Tagliafico,20.057169,-1.060308,Ground Pass,"[32.6, 7.6]",Right Foot,,779,779,27768,5507.0,,,,,,,,,,,,,,,,,
cfc528a5-01e5-494a-b612-1b99ef585855,202,1,00:04:13.878,4,13,Pass,11,Argentina,From Throw In,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[31.7, 7.8]",1.377183,['003cd745-5d6f-4e16-bf56-a5ca4a4dae34'],3942785,Julián Álvarez,25.709532,0.027230622,Ground Pass,"[57.4, 8.5]",Left Foot,,779,779,5507,29560.0,,,,,,,,,,,,,,,,,
871bd10c-f140-47db-97f9-387b576df0a5,209,1,00:04:18.471,4,18,Pass,12,Canada,Regular Play,Canada,Alistair Johnston,Right Back,"[67.1, 76.5]",1.166248,"['422c321f-6d5a-4138-990b-bc1d5ddcc3d8', '91ac091c-0e51-49b1-a746-71b5c609cdf5']",3942785,Ismael Koné,13.829317,-1.5056711,Ground Pass,"[68.0, 62.7]",Left Foot,Recovery,1833,1833,44703,133229.0,Incomplete,,,,,,,,,,,,,,,,
cccaa736-9964-49b0-8093-ebd811995af6,218,1,00:04:23.876,4,23,Pass,12,Canada,Regular Play,Canada,Cyle Larin,Left Center Forward,"[79.6, 39.2]",1.713795,['867168a4-ae64-4d1c-98bb-5fc51b0ba3fe'],3942785,Jacob Shaffelburg,23.809662,-0.7200153,Ground Pass,"[97.5, 23.5]",Right Foot,,1833,1833,16459,26152.0,,,,,,,,37176efb-40b9-4dcc-92ba-c983905ae715,True,,,,,,,,
16924959-7081-44c4-91dc-db49967391ac,224,1,00:04:40.693,4,40,Pass,13,Argentina,From Goal Kick,Argentina,Damián Emiliano Martínez,Goalkeeper,"[7.0, 47.3]",2.220115,['59f19e9d-8fff-4de0-9005-f79d5f8f4a3f'],3942785,Lisandro Martínez,21.372179,-1.4110322,Ground Pass,"[10.4, 26.2]",Right Foot,Goal Kick,779,779,6909,27768.0,,,,,,,,,,,,,,,,,
88986ba5-9fdd-4006-880a-5ade0593ff7f,227,1,00:04:47.771,4,47,Pass,13,Argentina,From Goal Kick,Argentina,Lisandro Martínez,Left Center Back,"[23.0, 30.4]",2.148505,['af7f646a-bea4-4c63-a2a4-b05adbb610d0'],3942785,Cristian Gabriel Romero,28.04015,1.6243166,Ground Pass,"[21.5, 58.4]",Left Foot,,779,779,27768,20572.0,,,,,,,,,,,,,,,,,
42696786-44fb-4de5-864c-67e37117f51f,230,1,00:04:55.519,4,55,Pass,13,Argentina,From Goal Kick,Argentina,Cristian Gabriel Romero,Right Center Back,"[33.5, 57.3]",1.999998,['48e748cb-ddae-4f25-8215-566bbab23e87'],3942785,Lisandro Martínez,29.308361,-1.5946826,Ground Pass,"[32.8, 28.0]",Right Foot,,779,779,20572,27768.0,,,,,,,,,,,,,,,,,
311e25e3-4f57-477c-8a1f-120f4ae6f4e4,233,1,00:04:59.119,4,59,Pass,13,Argentina,From Goal Kick,Argentina,Lisandro Martínez,Left Center Back,"[33.2, 27.3]",1.999998,['2bda05f9-4b96-4a22-a233-cfcb29a74aa6'],3942785,Cristian Gabriel Romero,28.8,1.5707964,Ground Pass,"[33.2, 56.1]",Left Foot,,779,779,27768,20572.0,,,,,,,,,,,,,,,,,
72d7b60e-c63e-4d4b-a0d1-0a311f9c1b70,236,1,00:05:03.207,5,3,Pass,13,Argentina,From Goal Kick,Argentina,Cristian Gabriel Romero,Right Center Back,"[37.7, 56.4]",0.94012,['25992790-593a-4165-ab69-01d600818c7f'],3942785,Lionel Andrés Messi Cuccittini,27.353428,-0.41785315,Ground Pass,"[62.7, 45.3]",Right Foot,,779,779,20572,5503.0,,,,,,,,,,,,,,,,,
080da534-51e9-4833-b7ac-833251cc1689,239,1,00:05:04.148,5,4,Pass,13,Argentina,From Goal Kick,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[63.4, 45.1]",0.983981,"['6ac7de8c-9935-43ca-a57d-f00786777c7e', 'bf98c05b-42c8-4841-87f5-05e2d4f1b1a2']",3942785,Enzo Fernandez,9.104943,-3.1086376,Ground Pass,"[54.3, 44.8]",Left Foot,,779,779,5503,38718.0,,True,,,,,,,,,,,,,,,
63c1f681-b6ad-4369-aaed-37a9813d5e91,242,1,00:05:05.209,5,5,Pass,13,Argentina,From Goal Kick,Argentina,Enzo Fernandez,Left Defensive Midfield,"[54.3, 44.8]",1.757637,['34e60723-2b65-4408-bd78-430958fcc4cc'],3942785,Gonzalo Ariel Montiel,35.638744,1.1548512,Ground Pass,"[68.7, 77.4]",Right Foot,,779,779,38718,28263.0,,,,,,,,,,,,,,,,,
5f7c9ba2-6ff6-4cc6-9ff8-65873115c92e,245,1,00:05:09.366,5,9,Pass,13,Argentina,From Goal Kick,Argentina,Gonzalo Ariel Montiel,Right Back,"[80.6, 74.8]",2.295473,['2756fce5-7c1c-4ea5-ba10-93a24d5c4570'],3942785,Ángel Fabián Di María Hernández,35.480278,-0.43339202,Ground Pass,"[112.8, 59.9]",Right Foot,,779,779,28263,2995.0,,,,,,,,,,,,,,,,,
0e27b6ed-c51e-4f69-a37b-c77fffdd2f04,252,1,00:05:21.649,5,21,Pass,14,Canada,Regular Play,Canada,Moise Bombito,Right Center Back,"[32.6, 10.9]",3.889438,"['00d6dcbf-06b1-4d9e-8690-4de343dd3128', '43348db8-19d9-4744-978a-d39c63318380']",3942785,Cyle Larin,76.30419,0.799299,High Pass,"[85.8, 65.6]",Right Foot,,1833,1833,383250,16459.0,Incomplete,,True,,,,,,,,,,,,,,
