Jugador,Posc,Equipo,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
Marcos Bolados,"DL,CC",cl Chile,27,1996,1.1,2,1.87,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Moïse Bombito,DF,ca Canada,23,2000,6.0,4,0.67,3,0,0,1,0,0,1,0.17,0,0,0,1,0,0,Partidos
Miguel Borja,DL,co Colombia,31,1993,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Rafael Borré,DL,co Colombia,28,1995,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alejandro Bran,CC,cr Costa Rica,22,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Claudio Bravo,PO,cl Chile,40,1983,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Jefferson Brenes,CC,cr Costa Rica,26,1997,1.8,1,0.55,1,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Partidos
Ben Brereton,DL,cl Chile,24,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Tajon Buchanan,"CC,DL",ca Canada,24,1999,1.1,2,1.84,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Hernesto Caballero,CC,py Paraguay,32,1991,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Sebastián Cáceres,DF,uy Uruguay,24,1999,2.9,3,1.05,1,0,0,2,0,0,1,0.35,0,0,0,1,0,0,Partidos
Jhonder Cádiz,DL,ve Venezuela,28,1995,0.9,1,1.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jordy Caicedo,"DL,CC",ec Ecuador,26,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Moisés Caicedo,CC,ec Ecuador,22,2001,4.0,15,3.75,9,4,0,1,0,1,2,0.50,2,0,0,0,0,0,Partidos
Alexander Callens,DF,pe Peru,31,1992,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Francisco Calvo,DF,cr Costa Rica,31,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Joel Campbell,"CC,DL",cr Costa Rica,31,1992,1.5,1,0.68,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Agustín Canobbio,CC,uy Uruguay,25,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Valentin Carboni,DL,ar Argentina,18,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Johnny Cardoso,CC,us United States,22,2001,0.8,2,2.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Roberto Carlos Fernández,"DL,CC",bo Bolivia,24,1999,1.3,4,3.03,1,1,0,0,1,1,0,0.00,0,0,0,0,0,0,Partidos
Jorge Carrascal,"CC,DL",co Colombia,25,1998,0.6,5,12.86,5,0,0,0,0,0,1,2.57,1,0,0,0,0,0,Partidos
Adalberto Carrasquilla,CC,pa Panama,25,1998,1.9,7,3.60,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
André Carrillo,CC,pe Peru,32,1991,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Wilder Cartagena,CC,pe Peru,29,1994,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Cameron Carter-Vickers,DF,us United States,26,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Julio Cascante,DF,cr Costa Rica,30,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Cristian Cásseres Jr.,CC,ve Venezuela,24,2000,1.7,3,1.81,3,0,0,0,0,0,1,0.60,1,0,0,0,0,0,Partidos
Kevin Castaño,CC,co Colombia,23,2000,0.9,4,7.06,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jesús Castillo,CC,pe Peru,22,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Renaldo Cephas,"CC,DF",jm Jamaica,24,1999,0.7,1,1.53,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Boris Cespedes,CC,bo Bolivia,28,1995,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Lucas Chávez,"DL,CC",bo Bolivia,20,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Luis Chávez,CC,mx Mexico,28,1996,2.9,10,3.50,3,5,0,1,1,0,0,0.00,0,0,0,0,0,0,Partidos
Mathieu Choiniere,CC,ca Canada,24,1999,1.2,3,2.48,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Anthony Contreras,DL,cr Costa Rica,24,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jhon Córdoba,DL,co Colombia,30,1993,4.6,10,2.17,7,0,0,1,1,1,2,0.43,1,0,0,0,1,0,Partidos
José Cordoba,DF,pa Panama,22,2001,4.0,3,0.75,2,0,0,0,1,0,1,0.25,1,0,0,0,0,0,Partidos
Derek Cornelius,DF,ca Canada,26,1997,4.8,2,0.42,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Janner Corozo,DL,ec Ecuador,28,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jordi Cortizo,DL,mx Mexico,27,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Aldo Corzo,DF,pe Peru,34,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Maxime Crépeau,PO,ca Canada,29,1994,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Andrés Cubas,CC,py Paraguay,27,1996,1.9,4,2.12,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Héctor Cuellar,DF,bo Bolivia,23,2000,2.5,1,0.40,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jaume Cuéllar,DL,bo Bolivia,22,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Carlos Cuesta,DF,co Colombia,24,1999,5.3,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Christian Cueva,"CC,DL",pe Peru,32,1991,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Danilo,DF,br Brazil,32,1991,4.0,10,2.50,8,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jonathan David,"CC,DL",ca Canada,24,2000,5.0,14,2.83,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alphonso Davies,DF,ca Canada,23,2000,5.1,9,1.76,5,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Víctor Dávila,DL,cl Chile,26,1997,2.6,8,3.13,5,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Partidos
Erick Davis,DF,pa Panama,32,1991,3.9,8,2.05,5,3,0,0,0,0,1,0.26,1,0,0,0,0,0,Partidos
Giorgian De Arrascaeta,"CC,DL",uy Uruguay,29,1994,1.8,8,4.39,3,4,0,1,0,0,2,1.10,1,1,0,0,0,0,Partidos
Luc De Fougerolles,DF,ca Canada,18,2005,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
