Jugador,Posc,Equipo,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
Emiliano Martínez,PO,ar Argentina,31,1992,6.3,2,0.33,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Lautaro Martínez,DL,ar Argentina,26,1997,2.5,3,1.35,0,0,2,0,1,0,1,0.45,0,0,1,0,0,0,Partidos
Lisandro Martínez,DF,ar Argentina,26,1998,5.2,1,0.21,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Lucas Martínez Quarta,DF,ar Argentina,27,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Weston McKennie,CC,us United States,25,1998,2.9,5,1.75,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Diego Medina,"DL,CC",bo Bolivia,22,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Ángel Mena,"DL,CC",ec Ecuador,36,1988,0.3,2,6.92,0,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Partidos
Cesar Menacho,DL,bo Bolivia,24,1999,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Lionel Messi,DL,ar Argentina,36,1987,4.7,24,5.08,11,9,1,1,2,0,3,0.64,2,1,0,0,0,0,Partidos
Éder Militão,DF,br Brazil,26,1998,4.0,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Liam Millar,"DL,CC",ca Canada,24,1999,2.6,3,1.15,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Kamal Miller,DF,ca Canada,26,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Roderick Miller,DF,pa Panama,31,1992,2.5,4,1.60,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Yerry Mina,DF,co Colombia,29,1994,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alan Minda,"DL,CC",ec Ecuador,20,2003,0.9,2,2.31,1,0,1,0,0,0,1,1.15,0,0,1,0,0,0,Partidos
Bruno Miranda,"DL,DF",bo Bolivia,25,1998,1.0,1,0.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jeyland Mitchell,DF,cr Costa Rica,19,2004,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Johan Mojica,DF,co Colombia,31,1992,5.8,6,1.09,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Nahuel Molina,DF,ar Argentina,25,1998,3.6,6,1.81,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
César Montes,DF,mx Mexico,26,1997,2.5,5,2.00,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Gonzalo Montiel,DF,ar Argentina,27,1997,2.7,4,1.49,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Partidos
Joseph Mora,DF,cr Costa Rica,31,1993,1.5,1,0.68,1,0,0,0,0,0,1,0.68,1,0,0,0,0,0,Partidos
Rodrigo Morínigo,PO,py Paraguay,25,1998,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Orlando Mosquera,PO,pa Panama,29,1994,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Daniel Muñoz,DF,co Colombia,27,1996,4.3,7,1.63,4,2,0,0,1,0,2,0.47,0,1,0,0,1,0,Partidos
Yunus Musah,CC,us United States,21,2002,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Nahitan Nández,DF,uy Uruguay,28,1995,4.8,9,1.87,6,0,0,0,2,1,1,0.21,0,0,0,0,1,0,Partidos
Miguel Navarro,DF,ve Venezuela,24,1999,3.0,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Shamar Nicholson,"DL,CC",jm Jamaica,26,1997,2.2,5,2.30,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Darwin Núñez,DL,uy Uruguay,24,1999,5.2,16,3.05,7,1,4,2,2,0,1,0.19,1,0,0,0,0,0,Partidos
Marcelino Núñez,CC,cl Chile,23,2000,1.6,1,0.62,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Lucas Olaza,DF,uy Uruguay,29,1994,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Cristian Olivera,"DL,DF",uy Uruguay,21,2002,1.6,4,2.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Mathías Olivera,DF,uy Uruguay,26,1997,4.2,3,0.72,3,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Partidos
Tani Oluwaseyi,DL,ca Canada,23,2000,1.5,2,1.32,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Darío Osorio,DL,cl Chile,20,2004,1.8,3,1.65,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Jonathan Osorio,CC,ca Canada,31,1992,3.5,6,1.70,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Yordan Osorio,DF,ve Venezuela,29,1994,4.0,3,0.75,2,0,0,1,0,0,1,0.25,1,0,0,0,0,0,Partidos
Nicolás Otamendi,DF,ar Argentina,35,1988,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Juan Pablo Vargas,DF,cr Costa Rica,28,1995,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Willian Pacho,DF,ec Ecuador,22,2001,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Kendry Páez,"CC,DL",ec Ecuador,16,2007,3.4,10,2.94,5,3,2,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Exequiel Palacios,CC,ar Argentina,25,1998,1.1,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Kasey Palmer,CC,jm Jamaica,27,1996,3.0,4,1.33,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Lucas Paquetá,CC,br Brazil,26,1997,3.3,11,3.38,9,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Leandro Paredes,CC,ar Argentina,29,1994,2.0,4,2.37,2,1,0,1,0,0,1,0.59,1,0,0,0,0,0,Partidos
Facundo Pellistri,DL,uy Uruguay,22,2001,5.0,9,1.81,9,0,0,0,0,0,1,0.20,1,0,0,0,0,0,Partidos
Sergio Peña,CC,pe Peru,28,1995,2.9,6,2.09,2,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Ricardo Pepi,DL,us United States,21,2003,1.1,6,5.68,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Andreas Pereira,CC,br Brazil,28,1996,0.7,2,2.73,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
César Pérez,CC,cl Chile,21,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Germán Pezzella,DF,ar Argentina,32,1991,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Orbelín Pineda,CC,mx Mexico,27,1996,1.6,9,5.55,5,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Ethan Pinnock,DF,jm Jamaica,30,1993,3.0,4,1.33,3,0,0,1,0,0,1,0.33,0,0,0,1,0,0,Partidos
Andy Polo,DF,pe Peru,29,1994,1.9,4,2.08,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Ángelo Preciado,DF,ec Ecuador,25,1998,4.0,11,2.76,5,2,0,2,1,1,0,0.00,0,0,0,0,0,0,Partidos
Erick Pulgar,CC,cl Chile,30,1994,2.3,1,0.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Christian Pulisic,"DL,CC",us United States,25,1998,3.0,12,4.00,5,5,1,1,0,0,2,0.67,1,1,0,0,0,0,Partidos
Julián Quiñones,"DL,CC",mx Mexico,26,1997,2.8,15,5.36,10,0,2,3,0,0,0,0.00,0,0,0,0,0,0,Partidos
Juan Quintero,DL,co Colombia,31,1993,0.5,3,14.21,3,0,0,0,0,0,1,4.74,1,0,0,0,0,0,Partidos
Haxzel Quirós,DF,cr Costa Rica,25,1998,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Piero Quispe,CC,pe Peru,22,2001,1.5,4,2.75,1,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Rodrigo Ramallo,DL,bo Bolivia,33,1990,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Eric Ramírez,DL,ve Venezuela,25,1998,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Iván Ramírez,DF,py Paraguay,29,1994,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Raphinha,DL,br Brazil,27,1996,2.9,10,3.47,4,2,2,0,1,1,0,0.00,0,0,0,0,0,0,Partidos
Tim Ream,DF,us United States,36,1987,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Bobby Reid,"CC,DL",jm Jamaica,30,1993,1.9,4,2.13,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Israel Reyes,DF,mx Mexico,23,2000,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Bryan Reyna,"CC,DL",pe Peru,25,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Gio Reyna,"CC,DL",us United States,21,2002,2.2,5,2.25,4,0,0,0,0,1,1,0.45,1,0,0,0,0,0,Partidos
Chris Richards,DF,us United States,23,2000,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Tomás Rincón,CC,ve Venezuela,36,1988,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Richard Ríos,CC,co Colombia,23,2000,5.0,14,2.81,6,0,4,2,2,0,1,0.20,0,0,0,0,1,0,Partidos
José Rivera,"DL,CC",pe Peru,26,1997,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Antonee Robinson,DF,us United States,26,1997,3.0,11,3.67,8,2,1,0,0,0,1,0.33,1,0,0,0,0,0,Partidos
Yomar Rocha,"CC,DF",bo Bolivia,20,2003,1.5,2,1.33,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Sergio Rochet,PO,uy Uruguay,30,1993,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Brian Rodríguez,DL,uy Uruguay,23,2000,0.3,2,6.00,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Charly Rodríguez,CC,mx Mexico,27,1997,0.9,2,2.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Guido Rodríguez,CC,ar Argentina,29,1994,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
James Rodríguez,"DL,CC",co Colombia,32,1991,5.1,36,7.00,14,18,1,1,2,0,9,1.75,3,5,0,0,1,0,Partidos
Kevin Rodríguez,DL,ec Ecuador,23,2000,2.6,6,2.32,3,0,1,0,2,0,1,0.39,0,0,0,0,1,0,Partidos
Rodrygo,DL,br Brazil,23,2001,3.6,10,2.76,6,2,0,1,1,0,2,0.55,1,0,0,1,0,0,Partidos
Andy Rojas,DL,cr Costa Rica,18,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Matías Rojas,DL,py Paraguay,28,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Ángel Romero,CC,py Paraguay,31,1992,0.6,4,6.43,2,0,1,1,0,0,1,1.61,1,0,0,0,0,0,Partidos
Cristian Romero,DF,ar Argentina,25,1998,5.3,3,0.60,2,0,0,0,1,0,1,0.20,1,0,0,0,0,0,Partidos
Luis Romo,CC,mx Mexico,28,1995,2.6,18,6.89,15,0,2,1,0,0,2,0.77,2,0,0,0,0,0,Partidos
Rafael Romo,PO,ve Venezuela,33,1990,4.0,1,0.25,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Salomón Rondón,DL,ve Venezuela,34,1989,3.7,15,4.04,11,0,0,4,0,0,2,0.54,1,0,0,1,0,0,Partidos
Jacen Russell-Rowe,DL,ca Canada,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
José Sagredo,DF,bo Bolivia,29,1994,3.0,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alexis Sánchez,CC,cl Chile,35,1988,2.7,9,3.31,5,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Davinson Sánchez,DF,co Colombia,27,1996,6.3,4,0.67,3,0,0,1,0,0,2,0.33,2,0,0,0,0,0,Partidos
Erick Sánchez,CC,mx Mexico,24,1999,0.2,2,9.47,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Anderson Santamaría,"DF,DL",pe Peru,32,1992,0.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Josh Sargent,"DL,CC",us United States,23,2000,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jeremy Sarmiento,"DL,CC",ec Ecuador,21,2002,3.3,8,2.39,0,0,3,2,3,0,0,0.00,0,0,0,0,0,0,Partidos
Fernando Saucedo,CC,bo Bolivia,33,1990,1.1,1,0.90,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jefferson Savarino,CC,ve Venezuela,27,1996,0.7,1,1.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Sávio,DL,br Brazil,19,2004,1.3,7,5.29,3,0,3,1,0,0,1,0.76,0,0,0,1,0,0,Partidos
Joe Scally,DF,us United States,21,2002,2.9,2,0.70,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Telasco Segovia,CC,ve Venezuela,20,2003,0.8,5,6.16,5,0,0,0,0,0,1,1.23,1,0,0,0,0,0,Partidos
Patrick Sequeira,PO,cr Costa Rica,24,1999,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jacob Shaffelburg,"DL,CC",ca Canada,24,1999,3.8,9,2.34,8,0,1,0,0,0,1,0.26,1,0,0,0,0,0,Partidos
Luis Sinisterra,DL,co Colombia,24,1999,0.4,2,5.45,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Oliver Sonne,DF,pe Peru,23,2000,1.1,1,0.93,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Ramón Sosa,DL,py Paraguay,24,1999,1.5,7,4.67,3,1,2,1,0,0,1,0.67,1,0,0,0,0,0,Partidos
Yeferson Soteldo,"DL,CC",ve Venezuela,26,1997,3.1,14,4.53,8,3,2,0,0,1,0,0.00,0,0,0,0,0,0,Partidos
Dayne St. Clair,PO,ca Canada,26,1997,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Luis Suárez,DL,uy Uruguay,37,1987,0.9,4,4.56,1,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Marcelo Suarez,"DF,CC",bo Bolivia,22,2001,1.5,1,0.67,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Gabriel Suazo,DF,cl Chile,26,1997,2.3,5,2.18,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Nicolás Tagliafico,DF,ar Argentina,31,1992,5.0,7,1.51,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Partidos
Gerald Taylor,DF,cr Costa Rica,22,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Miguel Terceros,"CC,DL",bo Bolivia,19,2004,2.1,2,0.94,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Adalid Terrazas,"CC,DL",bo Bolivia,23,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Malik Tillman,CC,us United States,21,2002,0.0,2,90.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Félix Torres Caicedo,DF,ec Ecuador,27,1997,4.0,2,0.50,1,0,0,1,0,0,1,0.25,0,0,0,1,0,0,Partidos
Matt Turner,PO,us United States,29,1994,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Manfred Ugalde,DL,cr Costa Rica,21,2002,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Manuel Ugarte Ribeiro,CC,uy Uruguay,22,2001,5.5,6,1.10,3,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Partidos
Mateus Uribe,CC,co Colombia,32,1991,2.4,2,0.89,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Ramiro Vaca,"DL,CC",bo Bolivia,24,1999,1.9,5,2.66,3,1,0,0,1,0,1,0.53,1,0,0,0,0,0,Partidos
Diego Valdés,DL,cl Chile,30,1994,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Enner Valencia,DL,ec Ecuador,34,1989,2.1,3,1.42,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Omar Valencia,DF,pa Panama,19,2004,0.1,1,11.25,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Federico Valverde,CC,uy Uruguay,25,1998,5.9,28,4.76,24,2,0,2,0,0,2,0.34,2,0,0,0,0,0,Partidos
Guillermo Varela,DF,uy Uruguay,30,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Camilo Vargas,PO,co Colombia,34,1989,6.3,1,0.17,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Eduardo Vargas,DL,cl Chile,34,1989,2.2,3,1.38,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Johan Vásquez,DF,mx Mexico,25,1998,3.0,5,1.67,2,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alexis Vega,"CC,DF",mx Mexico,26,1997,0.3,1,2.90,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Gustavo Velásquez,DF,py Paraguay,32,1991,2.8,2,0.71,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Partidos
Gabriel Villamíl,CC,bo Bolivia,22,2001,2.7,1,0.37,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Mathías Villasanti,"CC,DL",py Paraguay,27,1997,2.7,5,1.86,3,0,0,0,1,1,1,0.37,1,0,0,0,0,0,Partidos
Matías Viña,DF,uy Uruguay,26,1997,3.9,7,1.78,6,1,0,0,0,0,1,0.25,1,0,0,0,0,0,Partidos
Guillermo Vizcarra,PO,bo Bolivia,30,1993,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jahmali Waite,PO,jm Jamaica,25,1998,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Timothy Weah,DL,us United States,23,2000,1.1,4,3.53,4,0,0,0,0,0,1,0.88,1,0,0,0,0,0,Partidos
Jovani Welch,CC,pa Panama,24,1999,2.3,4,1.76,2,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Partidos
Wendell,DF,br Brazil,30,1993,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Haji Wright,CC,us United States,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
César Yanis,CC,pa Panama,28,1996,0.0,1,90.00,0,0,1,0,0,0,1,90.00,0,0,1,0,0,0,Partidos
John Yeboah,DL,ec Ecuador,23,2000,1.2,5,4.17,1,0,2,1,1,0,1,0.83,1,0,0,0,0,0,Partidos
Édgar Yoel Bárcenas,CC,pa Panama,30,1993,4.0,14,3.52,9,2,2,0,1,0,1,0.25,1,0,0,0,0,0,Partidos
Carlos Zambrano,DF,pe Peru,34,1989,2.9,2,0.70,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Álvaro Zamora,"DL,CC",cr Costa Rica,21,2002,1.7,2,1.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Franco Zanelatto,CC,pe Peru,23,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
