id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,related_events,match_id,possession_team_id,team_id,player_id,ball_receipt_outcome,under_pressure
85a88e8a-1891-4dc1-a8c1-c8d5f686be29,6,1,00:00:01.693,0,1,Ball Receipt*,2,Canada,From Kick Off,Canada,Cyle Larin,Left Center Forward,"[63.4, 38.8]",['358b9cd1-3632-4b59-9ec8-168c21e34a89'],3942785,1833,1833,16459,,
2a49e08a-dc89-43ba-9f66-e4ffab9ab1e7,8,1,00:00:02.677,0,2,Ball Receipt*,2,Canada,From Kick Off,Canada,Jacob Shaffelburg,Left Midfield,"[68.5, 20.6]",['59a203c1-5770-4514-bdea-6d0dad246eba'],3942785,1833,1833,26152,,
0de642e2-f5f8-4f5c-84a5-f6e76ea03fde,11,1,00:00:05.936,0,5,Ball Receipt*,3,Argentina,Regular Play,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[38.3, 69.2]",['f3b6eb90-770f-496b-ad83-0e30973b096e'],3942785,779,779,7797,,
1f9a2920-0e32-46e3-8481-a5ae46c42077,14,1,00:00:07.519,0,7,Ball Receipt*,3,Argentina,Regular Play,Argentina,Cristian Gabriel Romero,Right Center Back,"[27.5, 56.8]",['f6fff3ed-6360-49c4-afdf-6db439e87789'],3942785,779,779,20572,,
67b96b80-2e46-4bd7-a760-1187ce25f819,17,1,00:00:10.623,0,10,Ball Receipt*,3,Argentina,Regular Play,Argentina,Lisandro Martínez,Left Center Back,"[25.3, 25.6]",['42f475f9-8c4d-43b8-88e4-51836ccf5ee1'],3942785,779,779,27768,,
839a299c-e6c8-40c7-b660-d3e586df68b4,20,1,00:00:13.863,0,13,Ball Receipt*,3,Argentina,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[31.2, 32.2]",['be3be71a-e769-47f6-9020-b1a5878af21c'],3942785,779,779,38718,,
0305e54f-249e-4454-8192-ce813eaf284f,22,1,00:00:14.989,0,14,Ball Receipt*,3,Argentina,Regular Play,Argentina,Lisandro Martínez,Left Center Back,"[28.1, 26.2]",['9ecee79f-f6da-42f4-929e-f0e8c6a7e44d'],3942785,779,779,27768,,
7f78b96f-5bf4-4864-80bc-3809fbab2f30,25,1,00:00:17.575,0,17,Ball Receipt*,3,Argentina,Regular Play,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[33.2, 7.4]",['71e48203-e938-4c30-8be0-4df03da2aebf'],3942785,779,779,5507,,
739ad576-eac0-40fc-a8ba-fd8009472b2d,28,1,00:00:20.181,0,20,Ball Receipt*,3,Argentina,Regular Play,Argentina,Lisandro Martínez,Left Center Back,"[20.4, 24.7]",['1f648108-113c-483b-b1a4-a0d03734d427'],3942785,779,779,27768,,
cdc1c603-1bc9-46a2-ba1c-65e61e5d43cd,31,1,00:00:23.781,0,23,Ball Receipt*,3,Argentina,Regular Play,Argentina,Cristian Gabriel Romero,Right Center Back,"[21.5, 61.5]",['94d73ed2-11fd-4545-bafb-8f92d33a8c01'],3942785,779,779,20572,,
