id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,possession_team_id,team_id,player_id,foul_won_advantage,foul_won_defensive
613cff43-c793-4fcc-a8f5-0bb9769756fd,271,1,00:05:43.426,5,43,Foul Won,14,Canada,Regular Play,Canada,Richie Laryea,Right Midfield,"[64.7, 75.4]",0.0,True,"['0938b58e-77bf-4cfd-8a1e-8b6f6fd2cea1', '29a30e1d-18ed-4568-9bcc-dc0adf7da724']",3942785,1833,1833,16120,,
e2f26dee-760d-4c85-9036-d2fcb9b52128,401,1,00:09:34.932,9,34,Foul Won,23,Argentina,Regular Play,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[56.1, 66.9]",0.0,True,"['c2df0715-3fe6-44bf-84de-2c6d85cf20ff', 'cd19e7d2-fdc6-4a89-8fd8-1d9ce0bd12b0', 'd2d83efb-fbb4-4db1-9875-1707ac04e9ed']",3942785,779,779,7797,True,
4db28734-e322-466d-a47f-f5be833f8618,513,1,00:11:45.553,11,45,Foul Won,28,Canada,From Goal Kick,Argentina,Cristian Gabriel Romero,Right Center Back,"[71.6, 63.5]",0.0,True,['7bc52f9f-7f7f-4299-8373-a37e58388c78'],3942785,1833,779,20572,,True
ba1f59a2-c945-443a-a121-9dba3231e474,1079,1,00:24:26.263,24,26,Foul Won,50,Canada,From Kick Off,Canada,Alistair Johnston,Right Back,"[91.5, 70.0]",0.0,True,"['4dfd99a2-4337-437d-b71c-9a4b1ae76b78', 'd17954df-7292-4cd3-94a3-be7ed7eba971']",3942785,1833,1833,44703,,
6016e5e1-36c8-4f20-9eab-8dd98bc43366,1095,1,00:25:38.187,25,38,Foul Won,52,Argentina,From Keeper,Argentina,Damián Emiliano Martínez,Goalkeeper,"[16.3, 48.5]",0.0,True,['53dc9317-66bb-4a0b-b57a-61b7eecb5fd2'],3942785,779,779,6909,,
89cfb926-8afe-47d1-97ad-16abbb03befa,1347,1,00:31:19.662,31,19,Foul Won,58,Argentina,Regular Play,Argentina,Cristian Gabriel Romero,Right Center Back,"[31.9, 46.2]",0.0,True,['65c7f40f-372c-453f-9a0c-549d408cc36c'],3942785,779,779,20572,,True
eadb2a4f-8e89-4c12-99f8-4f619ea01e6d,1733,1,00:41:23.252,41,23,Foul Won,76,Canada,Regular Play,Canada,Jacob Shaffelburg,Left Midfield,"[50.1, 5.1]",0.0,True,['0d46e6e3-8dc7-49a7-ae2c-4a41e03a2da0'],3942785,1833,1833,26152,,
da616778-0f5d-4d9e-af06-8c7da065e819,1850,1,00:44:23.184,44,23,Foul Won,82,Canada,From Goal Kick,Argentina,Enzo Fernandez,Left Defensive Midfield,"[39.7, 30.2]",0.0,True,['e549b7b9-edf2-4349-a33b-57ae0ab20e3f'],3942785,1833,779,38718,,True
1f2737a3-366a-493e-8b54-34a222891a34,1882,1,00:45:06.722,45,6,Foul Won,83,Argentina,From Free Kick,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[38.6, 28.9]",0.0,True,"['3697fe42-8566-4314-982e-ae07a6f8704a', '3ff14c66-918d-471e-840e-6c5756d37da1']",3942785,779,779,5507,,
3764b503-4a99-4022-87e7-5c9201d4bec9,1953,2,00:00:04.980,45,4,Foul Won,88,Argentina,From Kick Off,Argentina,Julián Álvarez,Left Center Forward,"[79.8, 33.1]",0.0,True,['9fcdd767-5d0a-458d-b9d0-419424cdf714'],3942785,779,779,29560,,
51331e2e-efb9-4258-b927-331bcf81995b,2372,2,00:13:24.838,58,24,Foul Won,103,Argentina,Regular Play,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[68.2, 72.4]",0.0,True,['e7dbfb02-9374-4e61-8fbf-0831bd2f054f'],3942785,779,779,5503,,True
b2c8d8f6-803f-4652-9d21-5a2e69291b8a,2398,2,00:14:31.122,59,31,Foul Won,104,Argentina,From Free Kick,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[26.9, 4.6]",0.0,True,['a9d3af6c-9acd-4a66-819b-ad5c0af52549'],3942785,779,779,5507,,True
9954b0a4-085b-456f-8f48-6870a8f63b05,2493,2,00:16:54.155,61,54,Foul Won,111,Canada,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[21.0, 24.1]",0.0,True,"['73c5b12a-1ac1-4dba-86a1-af665a2a936c', 'c0cb54c2-ff40-467e-99ec-e84fbb95de49']",3942785,1833,779,38718,True,True
ee4ba93f-181f-4dec-8a2e-0b683c8780a4,2498,2,00:16:57.283,61,57,Foul Won,112,Argentina,Regular Play,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[36.8, 29.2]",0.0,True,['cf8ece2e-3b7e-4fca-94de-925816802af6'],3942785,779,779,7797,,
5b04e75f-fa85-4900-9fb4-fa2de26e5cb4,2691,2,00:27:19.705,72,19,Foul Won,121,Canada,Other,Canada,Mathieu Choiniere,Left Defensive Midfield,"[75.5, 8.5]",0.0,True,"['44e1695e-9a12-4aaf-a50b-46d608f5ed25', '7e837d8c-6c7b-4262-83a3-09f2c32f59e1']",3942785,1833,1833,18639,,
71c499e5-479f-4dc9-865b-2f7b39ed7bd4,2713,2,00:27:40.216,72,40,Foul Won,123,Argentina,Regular Play,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[26.8, 58.1]",0.0,True,"['24c61bc6-7a49-4bbd-97a4-23b24f0a14a4', '39467a1c-f850-4bf6-ba86-3f9e13ee899d']",3942785,779,779,7797,,
0be85349-0719-4341-92f6-8c68bbbf3d18,2718,2,00:28:24.095,73,24,Foul Won,124,Argentina,From Free Kick,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[60.5, 64.6]",0.0,True,['703d2ed7-e2dd-4bc5-8762-e68b926e67fa'],3942785,779,779,7797,,
34800e98-4b3e-4f85-b197-8545124f3706,2880,2,00:30:56.959,75,56,Foul Won,126,Canada,Regular Play,Argentina,Ángel Fabián Di María Hernández,Right Midfield,"[10.5, 57.5]",0.0,True,['8d6dc7d1-fb0b-4322-819e-9c0b9c5544eb'],3942785,1833,779,2995,,True
487b4a42-298a-4831-9fbf-dad08163dde6,2897,2,00:33:03.236,78,3,Foul Won,127,Argentina,From Free Kick,Argentina,Rodrigo Javier De Paul,Right Midfield,"[35.6, 59.6]",0.0,True,"['51d65fb7-557a-4010-875c-e58bfcea806e', 'a241bb05-4844-483a-9ddf-4cefa2b7c768']",3942785,779,779,7797,,
6cb5547e-640b-4da2-89a3-053f98823718,3170,2,00:40:05.449,85,5,Foul Won,136,Canada,Regular Play,Canada,Mathieu Choiniere,Left Defensive Midfield,"[53.6, 27.2]",0.0,True,['d4d78444-3c58-4e71-832f-00e2459abe09'],3942785,1833,1833,18639,,
c01bb094-6cc7-4c8b-93c0-b0f83123c155,3251,2,00:42:05.682,87,5,Foul Won,140,Canada,Regular Play,Canada,Jonathan Osorio,Left Midfield,"[68.7, 32.1]",0.0,True,"['2a6fb58f-be79-47b1-a49c-eb73da8fb065', 'eb2d5823-5c54-4224-b4eb-ff1b0e61b7fb']",3942785,1833,1833,12770,True,
6b5790b7-8268-45d9-a414-f62bc8c6e150,3304,2,00:42:37.334,87,37,Foul Won,141,Argentina,Regular Play,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[49.3, 67.2]",0.0,True,['c9e641e5-f0e0-4861-9051-aef4a117f3a6'],3942785,779,779,5503,,True
