Jugador,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Miguel Araujo,DF,pe Peru,29,1994,2,2,148,1.6,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
Ronald Araújo,DF,uy Uruguay,24,1999,4,4,257,2.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,3,14,0,0.00,0.35,0.35,0.00,0.35,0.02,0.32,0.35,0.02,0.35,Partidos
Alex Arce,DL,py Paraguay,28,1995,2,2,150,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,1,2,5,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16,Partidos
Gabriel Arias,PO,cl Chile,36,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jhon Arias,CC,co Colombia,26,1997,6,6,483,5.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.2,8,17,20,0.00,0.19,0.19,0.00,0.19,0.03,0.01,0.05,0.03,0.05,Partidos
Santiago Arias,DF,co Colombia,32,1992,3,1,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,4,5,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Partidos
Gerardo Arteaga,DF,mx Mexico,25,1998,3,3,269,3.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,20,9,0.33,0.00,0.33,0.33,0.33,0.05,0.00,0.05,0.05,0.05,Partidos
Yaser Asprilla,DL,co Colombia,20,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.54,0.16,0.70,0.54,0.70,Partidos
Abdiel Ayarza,CC,pa Panama,31,1992,4,0,63,0.7,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.4,0,0,2,0.00,1.43,1.43,0.00,1.43,0.18,0.33,0.51,0.18,0.51,Partidos
Theo Bair,DL,ca Canada,24,1999,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Fabián Balbuena,DF,py Paraguay,32,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,1,8,0,0.00,0.00,0.00,0.00,0.00,0.10,0.14,0.24,0.10,0.24,Partidos
Folarin Balogun,DL,us United States,22,2001,3,3,175,1.9,2,0,2,2,0,0,0,0,0.3,0.3,0.0,0.3,4,3,11,1.03,0.00,1.03,1.03,1.03,0.17,0.00,0.17,0.17,0.17,Partidos
Adam Bareiro,DL,py Paraguay,27,1996,3,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jon Bell,DF,jm Jamaica,26,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28,Partidos
Eduard Bello,"DL,CC",ve Venezuela,28,1995,4,3,288,3.2,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,4,4,26,0.62,0.00,0.62,0.62,0.62,0.25,0.03,0.28,0.25,0.28,Partidos
Rodrigo Bentancur,CC,uy Uruguay,26,1997,6,2,170,1.9,2,0,2,2,0,0,1,0,0.5,0.5,0.1,0.6,2,9,2,1.06,0.00,1.06,1.06,1.06,0.26,0.05,0.32,0.26,0.32,Partidos
Di'Shon Bernard,DF,jm Jamaica,23,2000,2,2,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
César Blackman,"CC,DF",pa Panama,25,1998,3,3,194,2.2,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,6,8,20,0.46,0.00,0.46,0.46,0.46,0.06,0.04,0.10,0.06,0.10,Partidos
Damián Bobadilla,"CC,DL",py Paraguay,22,2001,3,2,197,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,9,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Partidos
Marcos Bolados,"DL,CC",cl Chile,27,1996,3,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
Moïse Bombito,DF,ca Canada,23,2000,6,6,540,6.0,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,3,17,1,0.00,0.17,0.17,0.00,0.17,0.02,0.05,0.07,0.02,0.07,Partidos
Miguel Borja,DL,co Colombia,31,1993,2,0,28,0.3,1,0,1,0,1,1,1,0,0.9,0.1,0.0,0.1,0,0,2,3.21,0.00,3.21,0.00,0.00,6.41,0.00,6.41,0.50,0.50,Partidos
Rafael Borré,DL,co Colombia,28,1995,4,1,128,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,0,4,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37,Partidos
Alejandro Bran,CC,cr Costa Rica,22,2001,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
Claudio Bravo,PO,cl Chile,40,1983,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson Brenes,CC,cr Costa Rica,26,1997,3,2,165,1.8,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.55,0.55,0.00,0.55,0.02,0.01,0.03,0.02,0.03,Partidos
Ben Brereton,DL,cl Chile,24,1999,3,0,44,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,5,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Partidos
Tajon Buchanan,"CC,DL",ca Canada,24,1999,3,1,98,1.1,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,3,2,8,0.00,0.00,0.00,0.00,0.00,0.49,0.08,0.58,0.49,0.58,Partidos
Hernesto Caballero,CC,py Paraguay,32,1991,3,1,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Sebastián Cáceres,DF,uy Uruguay,24,1999,5,2,258,2.9,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.3,0,3,0,0.00,0.35,0.35,0.00,0.35,0.06,0.05,0.12,0.06,0.12,Partidos
Jhonder Cádiz,DL,ve Venezuela,28,1995,3,0,85,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,2,3,1.06,0.00,1.06,1.06,1.06,0.18,0.00,0.18,0.18,0.18,Partidos
Jordy Caicedo,"DL,CC",ec Ecuador,26,1997,3,0,19,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,1,1,0.00,0.00,0.00,0.00,0.00,1.52,0.00,1.52,1.52,1.52,Partidos
Moisés Caicedo,CC,ec Ecuador,22,2001,4,4,360,4.0,0,0,0,0,0,0,2,0,0.2,0.2,0.8,0.9,7,23,12,0.00,0.00,0.00,0.00,0.00,0.04,0.19,0.23,0.04,0.23,Partidos
Alexander Callens,DF,pe Peru,31,1992,3,3,263,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
