id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,related_events,match_id,possession_team_id,team_id,player_id,ball_receipt_outcome,under_pressure
ce81914b-06dd-4cb3-8eb1-b497117bc44c,6,1,00:00:02.287,0,2,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Alexis Mac Allister,Right Defensive Midfield,"[51.6, 39.4]",['a5fa8994-ce7e-4d17-b7ee-d452232cdd7c'],3942228,779,779,27886,,
5682a0a1-e5d9-4b3b-82d3-5d5047f04247,9,1,00:00:03.984,0,3,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Rodrigo Javier De Paul,Right Midfield,"[45.0, 57.3]",['96e79471-de71-4ea5-a732-ca5520503a82'],3942228,779,779,7797,,
0388a31f-2225-40f4-a9fa-fee4e02db739,13,1,00:00:06.004,0,6,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Cristian Gabriel Romero,Right Center Back,"[24.9, 57.1]",['152a3f39-f7cf-4210-b1c0-cf4a8bc3658d'],3942228,779,779,20572,,
b580c413-d869-4d72-b042-7b9ffcbd0f9d,16,1,00:00:08.563,0,8,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Lisandro Martínez,Left Center Back,"[21.4, 26.3]",['e90e82df-2a67-474b-adce-74caaf9542cd'],3942228,779,779,27768,,
796610b8-7472-4925-bcf0-9c18287d7d4b,19,1,00:00:13.284,0,13,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Cristian Gabriel Romero,Right Center Back,"[22.1, 58.4]",['279ddd27-7066-4276-bda9-48ce5fa92b63'],3942228,779,779,20572,,
e8a9ec28-18f0-4e4d-8289-1eec738f8aa4,22,1,00:00:18.149,0,18,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Lisandro Martínez,Left Center Back,"[29.2, 21.5]",['75cfa956-7a57-4ac0-939b-a71728eaabc5'],3942228,779,779,27768,,
8a32834b-e500-48dc-b723-3977fd7d6288,25,1,00:00:22.840,0,22,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[38.8, 4.7]",['5366160b-c4d2-485d-8c6d-1a5c51495099'],3942228,779,779,5507,,
d1d6c004-2c7c-4767-a5cf-9b2a97c4b3bf,28,1,00:00:24.436,0,24,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Lisandro Martínez,Left Center Back,"[31.8, 17.6]",['59508493-accc-4ca0-b206-2661c562da6a'],3942228,779,779,27768,,
5417ffea-35f5-4df4-b665-26a4f0497169,31,1,00:00:27.731,0,27,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Cristian Gabriel Romero,Right Center Back,"[25.3, 57.0]",['0a714591-b5dd-429b-bf08-3f309d5fcdf0'],3942228,779,779,20572,,
52a42f6b-e632-422c-9d7c-88c863ed69a4,34,1,00:00:33.061,0,33,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Nahuel Molina Lucero,Right Back,"[47.1, 78.1]",['1075fce2-1e14-45f8-aa1f-aa748a1f4e52'],3942228,779,779,29201,,
