Jugador,Posc,Equipo,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
Fabián Balbuena,DF,py Paraguay,32,1991,3.0,0,4,1,25.0,1.33,0.33,0.00,0.00,8.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Partidos
Folarin Balogun,DL,us United States,22,2001,1.9,2,5,2,40.0,2.57,1.03,0.40,1.00,14.9,0,0,0,0.3,0.3,0.07,+1.7,+1.7,Partidos
Adam Bareiro,DL,py Paraguay,27,1996,0.8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Jon Bell,DF,jm Jamaica,26,1997,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Eduard Bello,"DL,CC",ve Venezuela,28,1995,3.2,2,4,3,75.0,1.25,0.94,0.50,0.67,12.5,0,0,0,0.8,0.8,0.20,+1.2,+1.2,Partidos
Rodrigo Bentancur,CC,uy Uruguay,26,1997,1.9,2,2,2,100.0,1.06,1.06,1.00,1.00,4.5,0,0,0,0.5,0.5,0.25,+1.5,+1.5,Partidos
Di'Shon Bernard,DF,jm Jamaica,23,2000,1.2,0,1,0,0.0,0.80,0.00,0.00,0,11.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
César Blackman,"CC,DF",pa Panama,25,1998,2.2,1,4,1,25.0,1.86,0.46,0.25,1.00,20.6,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Partidos
Damián Bobadilla,"CC,DL",py Paraguay,22,2001,2.2,0,4,3,75.0,1.83,1.37,0.00,0.00,24.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Partidos
Marcos Bolados,"DL,CC",cl Chile,27,1996,1.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Moïse Bombito,DF,ca Canada,23,2000,6.0,0,3,0,0.0,0.50,0.00,0.00,0,10.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Partidos
Miguel Borja,DL,co Colombia,31,1993,0.3,1,1,0,0.0,3.21,0.00,0.00,0,27.4,0,1,1,0.9,0.1,0.07,+0.1,-0.1,Partidos
Rafael Borré,DL,co Colombia,28,1995,1.4,0,1,0,0.0,0.70,0.00,0.00,0,8.1,0,0,0,0.4,0.4,0.40,-0.4,-0.4,Partidos
Alejandro Bran,CC,cr Costa Rica,22,2001,0.4,0,1,0,0.0,2.25,0.00,0.00,0,23.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Claudio Bravo,PO,cl Chile,40,1983,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Jefferson Brenes,CC,cr Costa Rica,26,1997,1.8,0,1,0,0.0,0.55,0.00,0.00,0,20.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Ben Brereton,DL,cl Chile,24,1999,0.5,0,2,0,0.0,4.09,0.00,0.00,0,15.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Partidos
Tajon Buchanan,"CC,DL",ca Canada,24,1999,1.1,0,2,1,50.0,1.84,0.92,0.00,0.00,9.0,0,0,0,0.5,0.5,0.27,-0.5,-0.5,Partidos
Hernesto Caballero,CC,py Paraguay,32,1991,1.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Sebastián Cáceres,DF,uy Uruguay,24,1999,2.9,0,2,0,0.0,0.70,0.00,0.00,0,8.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Partidos
Jhonder Cádiz,DL,ve Venezuela,28,1995,0.9,1,3,1,33.3,3.18,1.06,0.33,1.00,18.2,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Partidos
Jordy Caicedo,"DL,CC",ec Ecuador,26,1997,0.2,0,2,0,0.0,9.47,0.00,0.00,0,9.6,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Partidos
Moisés Caicedo,CC,ec Ecuador,22,2001,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,25.9,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Partidos
Alexander Callens,DF,pe Peru,31,1992,2.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Francisco Calvo,DF,cr Costa Rica,31,1992,3.0,1,1,1,100.0,0.33,0.33,1.00,1.00,8.0,0,0,0,0.4,0.4,0.38,+0.6,+0.6,Partidos
Joel Campbell,"CC,DL",cr Costa Rica,31,1992,1.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Agustín Canobbio,CC,uy Uruguay,25,1998,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Valentin Carboni,DL,ar Argentina,18,2005,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Johnny Cardoso,CC,us United States,22,2001,0.8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Roberto Carlos Fernández,"DL,CC",bo Bolivia,24,1999,1.3,0,1,1,100.0,0.76,0.76,0.00,0.00,29.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Jorge Carrascal,"CC,DL",co Colombia,25,1998,0.6,0,1,1,100.0,1.76,1.76,0.00,0.00,14.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Partidos
Adalberto Carrasquilla,CC,pa Panama,25,1998,1.9,0,2,1,50.0,1.03,0.51,0.00,0.00,28.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
André Carrillo,CC,pe Peru,32,1991,0.1,0,1,0,0.0,7.50,0.00,0.00,0,31.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
Wilder Cartagena,CC,pe Peru,29,1994,2.5,0,1,0,0.0,0.40,0.00,0.00,0,29.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Cameron Carter-Vickers,DF,us United States,26,1997,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Julio Cascante,DF,cr Costa Rica,30,1993,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
