Jugador,Posc,Equipo,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
Kaku,"DL,CC",py Paraguay,29,1995,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Richard King,DF,jm Jamaica,22,2001,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Ismaël Koné,CC,ca Canada,21,2002,3.5,1,5,2,40.0,1.41,0.56,0.20,0.50,21.8,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Partidos
Luca de la Torre,CC,us United States,25,1998,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Matías Lacava,CC,ve Venezuela,21,2002,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Gianluca Lapadula,DL,pe Peru,33,1990,2.2,0,8,3,37.5,3.71,1.39,0.00,0.00,27.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Partidos
Cyle Larin,DL,ca Canada,28,1995,4.4,0,7,1,14.3,1.59,0.23,0.00,0.00,12.5,0,0,0,1.1,1.1,0.15,-1.1,-1.1,Partidos
Richie Laryea,"DF,DL",ca Canada,29,1995,4.1,0,4,0,0.0,0.98,0.00,0.00,0,19.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Partidos
Ariel Lassiter,DF,cr Costa Rica,29,1994,1.5,0,1,0,0.0,0.67,0.00,0.00,0,27.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
Joël Latibeaudière,"DF,CC",jm Jamaica,24,2000,2.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Greg Leigh,DF,jm Jamaica,29,1994,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Dexter Lembikisa,DF,jm Jamaica,20,2003,2.0,0,3,3,100.0,1.53,1.53,0.00,0.00,27.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Partidos
Kahiser Lenis,CC,pa Panama,23,2000,0.5,0,3,1,33.3,5.74,1.91,0.00,0.00,13.9,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Partidos
Jefferson Lerma,CC,co Colombia,29,1994,4.7,2,8,3,37.5,1.71,0.64,0.25,0.67,23.5,0,0,0,0.4,0.4,0.05,+1.6,+1.6,Partidos
Igor Lichnovsky,DF,cl Chile,29,1994,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Partidos
Giovani Lo Celso,CC,ar Argentina,27,1996,1.7,0,3,2,66.7,1.78,1.18,0.00,0.00,10.4,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Partidos
Marcos López,DF,pe Peru,24,1999,2.5,0,1,1,100.0,0.41,0.41,0.00,0.00,32.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
Damion Lowe,"CC,DF",jm Jamaica,30,1993,1.8,0,1,0,0.0,0.57,0.00,0.00,0,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Jhon Lucumí,DF,co Colombia,25,1998,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
José Luis Rodríguez,CC,pa Panama,25,1998,0.9,0,2,1,50.0,2.17,1.08,0.00,0.00,25.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
Douglas Luiz,CC,br Brazil,25,1998,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,CC,ar Argentina,25,1998,4.9,0,6,2,33.3,1.22,0.41,0.00,0.00,12.3,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Partidos
Deiver Machado,DF,co Colombia,30,1993,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Darwin Machís,DL,ve Venezuela,30,1993,1.4,0,4,0,0.0,2.90,0.00,0.00,0,24.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Partidos
Warren Madrigal,"DL,CC",cr Costa Rica,19,2004,2.1,0,1,0,0.0,0.48,0.00,0.00,0,15.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Gabriel Magalhães,DF,br Brazil,26,1997,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Christian Makoun,DF,ve Venezuela,23,2000,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Jesús Manuel Sagredo,DF,bo Bolivia,29,1994,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
José María Giménez,DF,uy Uruguay,29,1995,3.4,0,4,0,0.0,1.19,0.00,0.00,0,10.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Partidos
Guillermo Maripán,DF,cl Chile,29,1994,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Marquinhos,DF,br Brazil,29,1994,4.0,0,1,0,0.0,0.25,0.00,0.00,0,7.0,0,0,0,0.1,0.1,0.15,-0.1,-0.1,Partidos
Alex Marshall,CC,jm Jamaica,25,1998,0.0,0,1,0,0.0,22.50,0.00,0.00,0,28.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Gabriel Martinelli,DL,br Brazil,22,2001,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Guillermo Martínez Ayala,"DL,CC",mx Mexico,28,1995,0.9,0,3,1,33.3,3.51,1.17,0.00,0.00,8.1,0,0,0,0.5,0.5,0.15,-0.5,-0.5,Partidos
Cristian Martínez,CC,pa Panama,26,1997,3.0,0,3,1,33.3,0.99,0.33,0.00,0.00,22.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Partidos
Emiliano Martínez,PO,ar Argentina,31,1992,6.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Lautaro Martínez,DL,ar Argentina,26,1997,2.5,5,11,8,72.7,4.42,3.21,0.45,0.63,13.2,0,0,0,3.3,3.1,0.28,+1.7,+1.9,Partidos
Lisandro Martínez,DF,ar Argentina,26,1998,5.2,1,5,1,20.0,0.96,0.19,0.20,1.00,13.4,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Partidos
Lucas Martínez Quarta,DF,ar Argentina,27,1996,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Weston McKennie,CC,us United States,25,1998,2.9,0,2,0,0.0,0.70,0.00,0.00,0,16.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Partidos
Diego Medina,"DL,CC",bo Bolivia,22,2002,0.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Ángel Mena,"DL,CC",ec Ecuador,36,1988,0.3,0,1,0,0.0,3.46,0.00,0.00,0,32.7,1,0,0,0.0,0.0,0.04,0.0,0.0,Partidos
Cesar Menacho,DL,bo Bolivia,24,1999,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Lionel Messi,DL,ar Argentina,36,1987,4.7,1,13,5,38.5,2.75,1.06,0.08,0.20,18.3,1,0,0,1.9,1.9,0.15,-0.9,-0.9,Partidos
Éder Militão,DF,br Brazil,26,1998,4.0,0,1,0,0.0,0.25,0.00,0.00,0,14.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Partidos
Liam Millar,"DL,CC",ca Canada,24,1999,2.6,0,5,2,40.0,1.92,0.77,0.00,0.00,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Kamal Miller,DF,ca Canada,26,1997,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Roderick Miller,DF,pa Panama,31,1992,2.5,0,3,1,33.3,1.20,0.40,0.00,0.00,10.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Partidos
Yerry Mina,DF,co Colombia,29,1994,0.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Alan Minda,"DL,CC",ec Ecuador,20,2003,0.9,1,1,1,100.0,1.15,1.15,1.00,1.00,10.9,0,0,0,0.5,0.5,0.47,+0.5,+0.5,Partidos
Bruno Miranda,"DL,DF",bo Bolivia,25,1998,1.0,1,1,1,100.0,0.96,0.96,1.00,1.00,12.8,0,0,0,0.3,0.3,0.33,+0.7,+0.7,Partidos
Jeyland Mitchell,DF,cr Costa Rica,19,2004,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Johan Mojica,DF,co Colombia,31,1992,5.8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Nahuel Molina,DF,ar Argentina,25,1998,3.6,0,1,1,100.0,0.27,0.27,0.00,0.00,12.2,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Partidos
César Montes,DF,mx Mexico,26,1997,2.5,0,3,1,33.3,1.20,0.40,0.00,0.00,18.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Partidos
Gonzalo Montiel,DF,ar Argentina,27,1997,2.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Joseph Mora,DF,cr Costa Rica,31,1993,1.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Rodrigo Morínigo,PO,py Paraguay,25,1998,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Orlando Mosquera,PO,pa Panama,29,1994,4.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Daniel Muñoz,DF,co Colombia,27,1996,4.3,2,4,2,50.0,0.93,0.47,0.50,1.00,10.9,0,0,0,0.5,0.5,0.12,+1.5,+1.5,Partidos
Yunus Musah,CC,us United States,21,2002,1.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Nahitan Nández,DF,uy Uruguay,28,1995,4.8,0,1,0,0.0,0.21,0.00,0.00,0,15.2,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Partidos
Miguel Navarro,DF,ve Venezuela,24,1999,3.0,0,1,0,0.0,0.33,0.00,0.00,0,14.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Partidos
Shamar Nicholson,"DL,CC",jm Jamaica,26,1997,2.2,0,5,1,20.0,2.30,0.46,0.00,0.00,17.7,1,0,0,0.4,0.4,0.09,-0.4,-0.4,Partidos
Darwin Núñez,DL,uy Uruguay,24,1999,5.2,2,21,5,23.8,4.00,0.95,0.10,0.40,13.8,1,0,0,2.6,2.6,0.12,-0.6,-0.6,Partidos
Marcelino Núñez,CC,cl Chile,23,2000,1.6,0,3,3,100.0,1.87,1.87,0.00,0.00,30.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
Lucas Olaza,DF,uy Uruguay,29,1994,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Cristian Olivera,"DL,DF",uy Uruguay,21,2002,1.6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Mathías Olivera,DF,uy Uruguay,26,1997,4.2,1,4,1,25.0,0.96,0.24,0.25,1.00,9.3,0,0,0,0.9,0.9,0.22,+0.1,+0.1,Partidos
Tani Oluwaseyi,DL,ca Canada,23,2000,1.5,0,9,3,33.3,5.96,1.99,0.00,0.00,11.9,0,0,0,2.3,2.3,0.25,-2.3,-2.3,Partidos
Darío Osorio,DL,cl Chile,20,2004,1.8,0,1,0,0.0,0.55,0.00,0.00,0,23.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Osorio,CC,ca Canada,31,1992,3.5,0,2,1,50.0,0.57,0.28,0.00,0.00,11.4,0,0,0,0.4,0.4,0.23,-0.4,-0.4,Partidos
Yordan Osorio,DF,ve Venezuela,29,1994,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,7.9,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Partidos
Nicolás Otamendi,DF,ar Argentina,35,1988,1.6,0,2,0,0.0,1.22,0.00,0.00,0,7.3,0,0,0,0.6,0.6,0.28,-0.6,-0.6,Partidos
Juan Pablo Vargas,DF,cr Costa Rica,28,1995,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Willian Pacho,DF,ec Ecuador,22,2001,4.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Kendry Páez,"CC,DL",ec Ecuador,16,2007,3.4,1,10,3,30.0,2.94,0.88,0.00,0.00,21.6,1,1,1,1.8,1.0,0.10,-0.8,-1.0,Partidos
Exequiel Palacios,CC,ar Argentina,25,1998,1.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Kasey Palmer,CC,jm Jamaica,27,1996,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Partidos
Lucas Paquetá,CC,br Brazil,26,1997,3.3,1,8,0,0.0,2.46,0.00,0.00,0,23.2,0,1,2,2.3,0.7,0.09,-1.3,-0.7,Partidos
Leandro Paredes,CC,ar Argentina,29,1994,2.0,0,3,1,33.3,1.53,0.51,0.00,0.00,50.5,1,0,1,0.9,0.1,0.02,-0.9,-0.1,Partidos
Facundo Pellistri,DL,uy Uruguay,22,2001,5.0,1,3,2,66.7,0.60,0.40,0.33,0.50,8.2,0,0,0,1.2,1.2,0.39,-0.2,-0.2,Partidos
Sergio Peña,CC,pe Peru,28,1995,2.9,0,1,0,0.0,0.35,0.00,0.00,0,33.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Ricardo Pepi,DL,us United States,21,2003,1.1,0,7,5,71.4,6.63,4.74,0.00,0.00,10.9,0,0,0,2.3,2.3,0.39,-2.3,-2.3,Partidos
Andreas Pereira,CC,br Brazil,28,1996,0.7,0,1,1,100.0,1.34,1.34,0.00,0.00,25.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Partidos
César Pérez,CC,cl Chile,21,2002,0.1,0,1,0,0.0,10.00,0.00,0.00,0,32.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Germán Pezzella,DF,ar Argentina,32,1991,0.9,0,1,0,0.0,1.10,0.00,0.00,0,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Orbelín Pineda,CC,mx Mexico,27,1996,1.6,0,2,0,0.0,1.23,0.00,0.00,0,31.0,0,0,1,0.8,0.0,0.02,-0.8,0.0,Partidos
Ethan Pinnock,DF,jm Jamaica,30,1993,3.0,0,1,0,0.0,0.33,0.00,0.00,0,11.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Partidos
Andy Polo,DF,pe Peru,29,1994,1.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Ángelo Preciado,DF,ec Ecuador,25,1998,4.0,0,5,0,0.0,1.25,0.00,0.00,0,19.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Partidos
Erick Pulgar,CC,cl Chile,30,1994,2.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Christian Pulisic,"DL,CC",us United States,25,1998,3.0,1,7,2,28.6,2.33,0.67,0.14,0.50,19.3,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Partidos
Julián Quiñones,"DL,CC",mx Mexico,26,1997,2.8,0,8,2,25.0,2.86,0.71,0.00,0.00,19.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Partidos
Juan Quintero,DL,co Colombia,31,1993,0.5,0,1,0,0.0,1.84,0.00,0.00,0,35.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Haxzel Quirós,DF,cr Costa Rica,25,1998,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Piero Quispe,CC,pe Peru,22,2001,1.5,0,1,1,100.0,0.69,0.69,0.00,0.00,12.1,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Partidos
Rodrigo Ramallo,DL,bo Bolivia,33,1990,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Eric Ramírez,DL,ve Venezuela,25,1998,0.2,1,3,2,66.7,15.88,10.59,0.33,0.50,20.2,0,0,0,0.6,0.6,0.20,+0.4,+0.4,Partidos
Iván Ramírez,DF,py Paraguay,29,1994,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Raphinha,DL,br Brazil,27,1996,2.9,1,8,5,62.5,2.78,1.74,0.13,0.20,19.5,3,0,0,1.0,1.0,0.13,0.0,0.0,Partidos
Tim Ream,DF,us United States,36,1987,2.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Bobby Reid,"CC,DL",jm Jamaica,30,1993,1.9,0,2,1,50.0,1.07,0.53,0.00,0.00,24.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Partidos
Israel Reyes,DF,mx Mexico,23,2000,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Bryan Reyna,"CC,DL",pe Peru,25,1998,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Gio Reyna,"CC,DL",us United States,21,2002,2.2,0,1,0,0.0,0.45,0.00,0.00,0,6.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Partidos
Chris Richards,DF,us United States,23,2000,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,9.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Partidos
Tomás Rincón,CC,ve Venezuela,36,1988,0.4,0,1,0,0.0,2.73,0.00,0.00,0,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Partidos
Richard Ríos,CC,co Colombia,23,2000,5.0,1,8,4,50.0,1.61,0.80,0.13,0.25,27.2,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Partidos
José Rivera,"DL,CC",pe Peru,26,1997,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Antonee Robinson,DF,us United States,26,1997,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,21.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Partidos
Yomar Rocha,"CC,DF",bo Bolivia,20,2003,1.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Sergio Rochet,PO,uy Uruguay,30,1993,6.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Brian Rodríguez,DL,uy Uruguay,23,2000,0.3,0,1,0,0.0,3.00,0.00,0.00,0,11.2,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Partidos
Charly Rodríguez,CC,mx Mexico,27,1997,0.9,0,2,1,50.0,2.17,1.08,0.00,0.00,12.3,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Partidos
Guido Rodríguez,CC,ar Argentina,29,1994,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
James Rodríguez,"DL,CC",co Colombia,32,1991,5.1,1,7,3,42.9,1.36,0.58,0.00,0.00,24.4,3,1,1,1.2,0.4,0.06,-0.2,-0.4,Partidos
Kevin Rodríguez,DL,ec Ecuador,23,2000,2.6,1,5,1,20.0,1.93,0.39,0.20,1.00,17.9,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Partidos
Rodrygo,DL,br Brazil,23,2001,3.6,0,10,2,20.0,2.76,0.55,0.00,0.00,18.0,3,0,0,0.7,0.7,0.07,-0.7,-0.7,Partidos
Andy Rojas,DL,cr Costa Rica,18,2005,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Matías Rojas,DL,py Paraguay,28,1995,0.0,0,1,0,0.0,90.00,0.00,0.00,0,30.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Ángel Romero,CC,py Paraguay,31,1992,0.6,0,3,1,33.3,4.82,1.61,0.00,0.00,17.0,1,0,0,0.6,0.6,0.20,-0.6,-0.6,Partidos
Cristian Romero,DF,ar Argentina,25,1998,5.3,0,1,0,0.0,0.19,0.00,0.00,0,6.9,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Partidos
Luis Romo,CC,mx Mexico,28,1995,2.6,0,6,2,33.3,2.30,0.77,0.00,0.00,21.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Partidos
Rafael Romo,PO,ve Venezuela,33,1990,4.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Salomón Rondón,DL,ve Venezuela,34,1989,3.7,3,17,4,23.5,4.58,1.08,0.12,0.50,16.9,0,1,1,2.4,1.7,0.10,+0.6,+0.3,Partidos
Jacen Russell-Rowe,DL,ca Canada,21,2002,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
José Sagredo,DF,bo Bolivia,29,1994,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Alexis Sánchez,CC,cl Chile,35,1988,2.7,0,4,1,25.0,1.47,0.37,0.00,0.00,13.2,0,0,0,0.7,0.7,0.16,-0.7,-0.7,Partidos
Davinson Sánchez,DF,co Colombia,27,1996,6.3,1,7,1,14.3,1.11,0.16,0.14,1.00,8.3,0,0,0,1.4,1.4,0.20,-0.4,-0.4,Partidos
Erick Sánchez,CC,mx Mexico,24,1999,0.2,0,1,0,0.0,4.74,0.00,0.00,0,35.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
Anderson Santamaría,"DF,DL",pe Peru,32,1992,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Josh Sargent,"DL,CC",us United States,23,2000,0.3,0,1,0,0.0,3.75,0.00,0.00,0,10.8,0,0,0,0.0,0.0,0.05,0.0,0.0,Partidos
Jeremy Sarmiento,"DL,CC",ec Ecuador,21,2002,3.3,1,6,2,33.3,1.79,0.60,0.17,0.50,16.9,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Partidos
Fernando Saucedo,CC,bo Bolivia,33,1990,1.1,0,1,1,100.0,0.90,0.90,0.00,0.00,33.8,1,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Jefferson Savarino,CC,ve Venezuela,27,1996,0.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Sávio,DL,br Brazil,19,2004,1.3,1,4,1,25.0,3.03,0.76,0.25,1.00,14.0,0,0,0,0.8,0.8,0.19,+0.2,+0.2,Partidos
Joe Scally,DF,us United States,21,2002,2.9,0,1,0,0.0,0.35,0.00,0.00,0,30.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Telasco Segovia,CC,ve Venezuela,20,2003,0.8,0,1,0,0.0,1.23,0.00,0.00,0,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Patrick Sequeira,PO,cr Costa Rica,24,1999,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Jacob Shaffelburg,"DL,CC",ca Canada,24,1999,3.8,1,5,3,60.0,1.30,0.78,0.20,0.33,16.6,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Partidos
Luis Sinisterra,DL,co Colombia,24,1999,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Oliver Sonne,DF,pe Peru,23,2000,1.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Ramón Sosa,DL,py Paraguay,24,1999,1.5,1,3,2,66.7,2.00,1.33,0.33,0.50,19.5,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Partidos
Yeferson Soteldo,"DL,CC",ve Venezuela,26,1997,3.1,0,4,1,25.0,1.29,0.32,0.00,0.00,20.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
Dayne St. Clair,PO,ca Canada,26,1997,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Luis Suárez,DL,uy Uruguay,37,1987,0.9,1,5,3,60.0,5.70,3.42,0.20,0.33,14.4,0,0,0,0.9,0.9,0.19,+0.1,+0.1,Partidos
Marcelo Suarez,"DF,CC",bo Bolivia,22,2001,1.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Gabriel Suazo,DF,cl Chile,26,1997,2.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Nicolás Tagliafico,DF,ar Argentina,31,1992,5.0,0,3,1,33.3,0.60,0.20,0.00,0.00,11.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
Gerald Taylor,DF,cr Costa Rica,22,2001,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Miguel Terceros,"CC,DL",bo Bolivia,19,2004,2.1,0,7,3,42.9,3.28,1.41,0.00,0.00,26.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Partidos
Adalid Terrazas,"CC,DL",bo Bolivia,23,2000,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Malik Tillman,CC,us United States,21,2002,0.0,0,1,0,0.0,45.00,0.00,0.00,0,18.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Partidos
Félix Torres Caicedo,DF,ec Ecuador,27,1997,4.0,0,5,0,0.0,1.25,0.00,0.00,0,9.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Partidos
Matt Turner,PO,us United States,29,1994,2.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Manfred Ugalde,DL,cr Costa Rica,21,2002,1.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Manuel Ugarte Ribeiro,CC,uy Uruguay,22,2001,5.5,0,4,0,0.0,0.73,0.00,0.00,0,23.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Partidos
